lemma,count
barbara,10
web,10
drug,10
technical,10
hail,10
susan,10
building,10
pace,10
karina,10
gloriously,10
fonda,10
desperation,10
guilt,10
princess,10
diabolical,10
midst,10
josef,10
critical,10
stewart,10
warrior,10
tight,10
usher,10
teen,10
span,10
shaw,10
lifetime,10
rather,10
toro,10
freewheel,10
model,10
risk,10
trail,10
obsess,10
counterculture,10
smith,10
handful,10
distinct,10
sven,10
adore,10
wrench,10
fiercely,10
overlook,10
duo,10
forty,10
carl,10
paranoia,10
fly,10
reputation,10
hepburn,10
henri,10
consciousness,10
luis,10
suspect,10
enlist,10
protect,10
president,10
surface,10
frontier,10
ground,10
glory,10
pre,10
source,10
demonstrate,10
deneuve,10
traditional,10
anarchic,10
authentic,10
elusive,10
civilization,10
curious,10
san,10
flourish,10
nykvist,10
rouse,10
grim,10
jesse,10
gentle,10
invasion,10
neorealist,10
ordinary,10
stylistic,10
outsider,10
gray,10
lewis,10
prey,10
exploit,10
autobiographical,10
happiness,10
describe,10
veteran,10
scheme,10
burn,10
van,10
especially,10
versatile,10
elderly,10
subtly,10
voyage,10
times,10
vacation,10
expressionistic,10
archival,10
mesmerize,10
address,10
respect,10
deft,10
elaborate,10
befriend,10
flight,10
sumptuous,10
presence,10
guy,10
